사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류,구글 검색량
1138111739,한일가스산업,2,1,1,0,0,0,47,0,0,0,1966-04-19,1,0,43.0,0,도매 및 소매업,67500.0
2078132193,엠피아이,2,1,1,0,0,0,15,0,0,0,1991-08-06,1,0,35.0,0,제조업,2890000.0
1318167565,도영운수,2,1,1,0,0,0,49,0,0,0,2001-10-30,1,0,149.0,0,운수 및 창고업,484.0
5048128251,중원산업,2,1,1,0,0,0,30,0,0,0,1999-01-12,1,0,75.0,0,제조업,82300.0
1098164260,카타나골프,2,1,1,0,0,0,46,0,0,0,2000-05-31,1,0,3.0,0,도매 및 소매업,310.0
2148612093,센트로,2,1,1,0,0,0,55,0,0,0,1988-08-10,1,0,2.0,0,숙박 및 음식점업,19000.0
2068148256,엄앤드이종합건축사사무소,2,1,1,0,0,0,72,0,0,0,1994-01-20,1,0,200.0,0,"전문, 과학 및 기술 서비스업",85.0
1078156099,세풍폴리머,2,1,1,0,0,0,46,0,0,0,1996-07-01,1,0,36.0,0,도매 및 소매업,115.0
6218111642,제일산업,2,1,1,0,0,0,13,0,0,0,1993-10-21,1,0,17.0,0,제조업,2300000.0
5148140835,한국대풍,2,1,1,1,0,0,30,0,0,0,2001-06-21,1,2,94.0,0,제조업,8000.0
1218138743,만복철강,2,1,1,0,0,0,46,0,0,0,2000-07-28,1,0,18.0,0,도매 및 소매업,206.0
1058168570,유피에스에스씨에스코리아,2,1,1,1,0,0,52,0,0,0,1990-09-11,1,1,83.0,0,운수 및 창고업,8790.0
6018127311,제이에스엠인터내셔날,2,1,1,0,0,0,75,0,0,0,1995-08-20,1,0,24.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업",883.0
1248174864,코팅코리아,2,1,1,0,0,0,25,0,0,0,2000-07-13,1,0,57.0,0,제조업,50700.0
6088102330,대중교통,2,1,1,0,0,0,49,0,0,0,1980-03-11,1,0,159.0,0,운수 및 창고업,2060000.0
2108101852,대갑산업,2,1,1,0,0,0,68,0,0,0,1963-07-20,1,0,12.0,0,부동산업,390.0
1138131623,티센크루프머티리얼코리아,2,1,1,1,0,0,25,0,0,0,1991-10-25,1,2,34.0,0,제조업,11200.0
1268108962,동양이화,2,1,1,0,0,0,22,0,0,0,1990-12-01,1,0,54.0,0,제조업,9220.0
2188110812,아방,2,1,1,0,0,0,14,0,0,0,1991-10-24,1,0,51.0,0,제조업,3120.0
6098119101,아메코,2,1,1,0,0,0,29,0,0,0,1980-10-01,1,0,23.0,0,제조업,2190.0
1068169683,아성테크노,2,1,1,0,0,0,46,0,0,0,1997-10-01,1,0,51.0,0,도매 및 소매업,1450.0
6168100459,세기건설,2,1,1,0,0,0,41,0,0,0,1969-02-20,1,0,32.0,0,건설업,334000.0
1348183899,아이.씨.씨.,2,1,1,0,0,0,17,0,0,0,2002-05-09,1,0,43.0,0,제조업,6610000.0
6088126220,산호목재상사,2,1,1,0,0,0,16,0,0,0,1996-08-29,1,0,17.0,0,제조업,66.0
3078107276,에이앤씨엠,2,1,1,0,0,0,10,0,0,0,1995-04-20,1,0,34.0,0,제조업,4410000.0
2018132031,고려통상,2,1,1,0,0,0,68,0,0,0,1969-09-11,1,0,68.0,0,부동산업,146000.0
1348103880,바이켐,2,1,1,0,1,0,20,0,0,0,1986-09-01,1,0,56.0,0,제조업,5900.0
6178134781,다은비,2,1,1,0,0,0,68,0,0,0,2001-08-01,1,0,4.0,0,부동산업,121000.0
2148737602,엘브스,2,1,1,0,0,0,27,0,0,0,2003-07-01,1,0,4.0,0,제조업,2260.0
