사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류,구글 검색량
6018125900,대양어업,2,1,1,0,0,0,3,0,0,0,1995-01-01,1,0,85.0,0,"농업,임업 및 어업",19600.0
1218132017,한강건설환경,2,1,1,0,0,0,38,0,0,0,1999-09-17,1,0,31.0,0,"수도, 하수 및 폐기물 처리, 원료 재생업",287000.0
2068187792,보보스미트트레이딩,2,1,1,0,0,0,46,0,0,0,2004-01-13,1,0,4.0,0,도매 및 소매업,5.0
2278111213,소학레저개발,2,1,1,0,0,0,96,0,0,0,2003-09-01,1,0,29.0,0,협회 및 단체,137.0
1078198352,청담씨앤디,2,1,1,0,0,0,68,0,0,0,2001-04-04,1,0,3.0,0,부동산업,191.0
6048112836,대양개발,2,1,1,0,0,0,68,0,0,0,1976-01-19,1,0,25.0,0,부동산업,114000.0
5118111097,삼성엠케이,2,1,1,0,0,0,23,0,0,0,2002-09-03,1,0,33.0,0,제조업,424000.0
5028100562,해피투게더현대교통,2,1,1,0,0,0,49,0,0,0,1970-01-01,1,0,245.0,0,운수 및 창고업,5040.0
1248154534,신호정유,2,1,1,0,0,0,38,0,0,0,1998-01-23,1,0,30.0,0,"수도, 하수 및 폐기물 처리, 원료 재생업",54200.0
1128143179,다미화학,2,1,1,0,0,0,46,0,0,0,1994-05-27,1,0,24.0,0,도매 및 소매업,724.0
4108137853,남도금형,2,1,1,0,0,0,29,0,0,0,1996-12-27,1,0,88.0,0,제조업,841.0
1248167441,브리지파워,2,1,1,0,0,0,26,0,0,0,1999-11-20,1,0,30.0,0,제조업,53400.0
1308111151,이화기계,2,1,1,1,0,0,29,0,0,0,1977-03-14,1,2,44.0,0,제조업,31100.0
2148197331,엠오에이치개발,2,1,1,0,0,0,55,0,0,0,1995-12-12,1,0,2.0,0,숙박 및 음식점업,3680.0
3108111437,더블유아이케이,2,1,1,0,0,0,38,0,0,0,1999-02-22,1,0,42.0,0,"수도, 하수 및 폐기물 처리, 원료 재생업",6600000.0
1318133046,남인천방송,2,1,1,0,0,0,60,0,0,0,1994-03-08,1,0,91.0,0,정보통신업,1560.0
6098144537,동원건설산업,2,1,1,0,0,0,41,0,0,0,2000-10-05,1,0,38.0,0,건설업,150000.0
1078133868,신동해인터내쇼널,2,1,1,0,0,0,46,0,0,0,1989-12-25,1,0,7.0,0,도매 및 소매업,12200.0
1258150171,엠스틸,2,1,1,0,0,0,25,0,0,0,2003-11-24,4,0,30.0,0,제조업,25100.0
1348186047,대신산업,2,1,1,0,0,0,30,0,0,0,2002-06-27,1,0,39.0,0,제조업,8040000.0
1198140208,나오테크놀로지스,2,1,1,0,0,0,28,0,0,0,2000-07-07,1,0,42.0,0,제조업,284000.0
1058635394,가나문화콘텐츠,2,1,1,0,0,0,58,0,0,0,2002-01-30,1,0,13.0,0,정보통신업,303000.0
1028122750,박홍근홈패션,2,1,1,0,0,0,13,0,0,0,1987-07-02,1,0,73.0,0,제조업,16800.0
6038100318,고려냉장,2,1,1,0,0,0,52,0,0,0,1978-12-01,1,0,61.0,0,운수 및 창고업,11800.0
