사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류,구글 검색량
1058776446,호전리테일,2,1,1,0,0,0,46,0,0,0,2012-08-22,1,0,20.0,0,도매 및 소매업,2820
2648102601,한국회가내스,2,1,1,1,0,0,46,0,0,0,2012-08-23,1,2,30.0,0,도매 및 소매업,177
2208844686,어반어스홀딩스,2,1,1,0,0,0,66,0,0,0,2012-08-24,1,0,12.0,0,금융 및 보험업,0
1068688517,드림타워,2,1,1,0,0,0,68,0,0,0,2012-08-27,1,0,3.0,0,부동산업,117000
2648102391,디케이프라임홀딩스,2,1,1,0,0,0,71,0,0,0,2012-08-29,1,0,1.0,0,"전문, 과학 및 기술 서비스업",3310
1058777673,케이앤에스컴퍼니,2,1,1,0,0,0,46,0,0,0,2012-08-29,1,0,10.0,0,도매 및 소매업,469
2208844347,스미베코리아,2,1,1,1,0,0,71,0,0,0,2012-09-03,1,2,3.0,0,"전문, 과학 및 기술 서비스업",51
2118883220,발렌시아가코리아,2,1,1,1,0,0,46,0,0,0,2012-10-05,1,2,300.0,0,도매 및 소매업,24800
2208844328,마케팅가이드,2,1,1,0,0,0,71,0,0,0,2012-09-04,1,0,2.0,0,"전문, 과학 및 기술 서비스업",116000000
2648102635,이조건설,2,1,1,0,0,0,41,0,0,0,2012-09-04,1,0,70.0,0,건설업,3300
1078778168,오다스톤파트너스,2,1,1,0,0,0,46,0,0,0,2012-09-04,1,0,3.0,0,도매 및 소매업,294
1018674890,늘푸른고양,2,1,1,0,0,0,74,0,0,0,2012-09-04,1,0,0.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업",1420
1208787919,스튜디오디컴퍼니,2,1,1,0,0,0,75,0,0,0,2012-09-05,1,0,5.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업",17400
