사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류
1138111739,한일가스산업,2,1,1,0,0,0,47,0,0,0,1966-04-19,1,0,43.0,0,도매 및 소매업
1318167565,도영운수,2,1,1,0,0,0,49,0,0,0,2001-10-30,1,0,149.0,0,운수 및 창고업
1098164260,카타나골프,2,1,1,0,0,0,46,0,0,0,2000-05-31,1,0,3.0,0,도매 및 소매업
2148612093,센트로,2,1,1,0,0,0,55,0,0,0,1988-08-10,1,0,2.0,0,숙박 및 음식점업
2068148256,엄앤드이종합건축사사무소,2,1,1,0,0,0,72,0,0,0,1994-01-20,1,0,200.0,0,"전문, 과학 및 기술 서비스업"
1078156099,세풍폴리머,2,1,1,0,0,0,46,0,0,0,1996-07-01,1,0,36.0,0,도매 및 소매업
1218138743,만복철강,2,1,1,0,0,0,46,0,0,0,2000-07-28,1,0,18.0,0,도매 및 소매업
1058168570,유피에스에스씨에스코리아,2,1,1,1,0,0,52,0,0,0,1990-09-11,1,1,83.0,0,운수 및 창고업
6018127311,제이에스엠인터내셔날,2,1,1,0,0,0,75,0,0,0,1995-08-20,1,0,24.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업"
6088102330,대중교통,2,1,1,0,0,0,49,0,0,0,1980-03-11,1,0,159.0,0,운수 및 창고업
2108101852,대갑산업,2,1,1,0,0,0,68,0,0,0,1963-07-20,1,0,12.0,0,부동산업
1068169683,아성테크노,2,1,1,0,0,0,46,0,0,0,1997-10-01,1,0,51.0,0,도매 및 소매업
6168100459,세기건설,2,1,1,0,0,0,41,0,0,0,1969-02-20,1,0,32.0,0,건설업
2018132031,고려통상,2,1,1,0,0,0,68,0,0,0,1969-09-11,1,0,68.0,0,부동산업
6178134781,다은비,2,1,1,0,0,0,68,0,0,0,2001-08-01,1,0,4.0,0,부동산업
2128125054,서경산업개발,2,1,1,0,0,0,68,0,0,0,1993-04-30,1,0,4.0,0,부동산업
1218144395,기경산업,2,1,1,0,0,0,46,0,0,0,2001-04-28,1,0,18.0,0,도매 및 소매업
1178102514,신길운수,2,1,1,0,0,0,49,0,0,0,1970-08-11,1,0,344.0,0,운수 및 창고업
4128117284,대양산업개발,2,1,1,0,0,0,68,0,0,0,1999-08-24,1,0,10.0,0,부동산업
1268146326,서경에너지,2,1,1,0,0,0,46,0,0,0,1999-07-08,1,0,22.0,0,도매 및 소매업
1108118320,동원아이엔씨,2,1,1,1,0,0,55,0,1,0,1985-02-04,4,2,158.0,0,숙박 및 음식점업
1018157125,단암엔지니어링,2,1,1,0,0,0,75,0,0,0,2000-06-01,1,0,12.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업"
