사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류
2078132193,엠피아이,2,1,1,0,0,0,15,0,0,0,1991-08-06,1,0,35.0,0,제조업
5048128251,중원산업,2,1,1,0,0,0,30,0,0,0,1999-01-12,1,0,75.0,0,제조업
6218111642,제일산업,2,1,1,0,0,0,13,0,0,0,1993-10-21,1,0,17.0,0,제조업
5148140835,한국대풍,2,1,1,1,0,0,30,0,0,0,2001-06-21,1,2,94.0,0,제조업
1248174864,코팅코리아,2,1,1,0,0,0,25,0,0,0,2000-07-13,1,0,57.0,0,제조업
1138131623,티센크루프머티리얼코리아,2,1,1,1,0,0,25,0,0,0,1991-10-25,1,2,34.0,0,제조업
1268108962,동양이화,2,1,1,0,0,0,22,0,0,0,1990-12-01,1,0,54.0,0,제조업
2188110812,아방,2,1,1,0,0,0,14,0,0,0,1991-10-24,1,0,51.0,0,제조업
6098119101,아메코,2,1,1,0,0,0,29,0,0,0,1980-10-01,1,0,23.0,0,제조업
1348183899,아이.씨.씨.,2,1,1,0,0,0,17,0,0,0,2002-05-09,1,0,43.0,0,제조업
6088126220,산호목재상사,2,1,1,0,0,0,16,0,0,0,1996-08-29,1,0,17.0,0,제조업
3078107276,에이앤씨엠,2,1,1,0,0,0,10,0,0,0,1995-04-20,1,0,34.0,0,제조업
1348103880,바이켐,2,1,1,0,1,0,20,0,0,0,1986-09-01,1,0,56.0,0,제조업
2148737602,엘브스,2,1,1,0,0,0,27,0,0,0,2003-07-01,1,0,4.0,0,제조업
1098129813,전방텍스타일,2,1,1,1,0,0,14,0,0,0,1971-12-24,1,2,18.0,0,제조업
6168110879,청룡수산,2,1,1,0,0,0,10,0,0,0,1993-05-31,1,0,30.0,0,제조업
6208110636,스마트전자,2,1,1,0,0,0,26,0,0,0,1995-04-19,1,0,101.0,0,제조업
6058109450,보광,2,1,1,0,0,0,20,0,0,0,1974-04-27,1,0,161.0,0,제조업
1308168260,태정기공,2,1,1,0,1,0,25,0,0,0,1997-01-01,1,0,44.0,0,제조업
2208131391,호진산업기연,2,1,1,0,0,0,27,0,0,0,1987-01-01,1,0,105.0,0,제조업
1318160276,재영아이텍,2,1,1,0,0,0,22,0,0,0,2020-02-24,1,0,22.0,0,제조업
4098167906,현대로오텍,2,1,1,0,1,0,28,0,0,0,2002-04-11,1,0,36.0,0,제조업
1298107322,파마킹,2,1,1,0,0,0,21,0,0,0,1988-02-01,1,0,64.0,0,제조업
1248122065,윤지양행,2,1,1,0,0,0,20,0,0,0,1993-12-01,1,0,48.0,0,제조업
5028163816,동우당제약,2,1,1,0,1,0,21,0,0,0,2002-03-06,1,0,41.0,0,제조업
1348120822,선영,2,1,1,0,0,0,22,0,0,0,1985-06-25,1,0,158.0,0,제조업
1378115269,태정산업,2,1,1,0,0,0,22,0,0,0,1996-06-20,1,0,49.0,0,제조업
1198118308,마하니트,2,1,1,0,0,0,14,0,0,0,1995-05-15,1,0,46.0,0,제조업
2188108903,일륭금속,2,1,1,0,0,0,25,0,0,0,1988-08-24,1,0,87.0,0,제조업
2148177728,보명하이텍,2,1,1,0,0,0,29,0,0,0,1994-10-20,1,0,10.0,0,제조업
3138105915,함라,2,1,1,0,0,0,23,0,0,0,1998-08-01,1,0,30.0,0,제조업
2158619181,한빛인포텍,2,1,1,0,0,0,26,0,0,0,2001-12-29,1,0,16.0,0,제조업
6098126242,대동정밀,2,1,1,0,0,0,30,0,0,0,1996-06-27,1,0,79.0,0,제조업
1348103444,은성테크닉스,2,1,1,0,0,0,25,0,0,0,1983-09-20,1,0,40.0,0,제조업
6228110229,한일정밀,2,1,1,1,0,0,30,0,0,0,1995-07-01,1,2,97.0,0,제조업
1138165083,한립특수강,2,1,1,0,0,0,24,0,0,0,2000-10-21,1,0,21.0,0,제조업
5068104444,스톨베르그앤드삼일,2,1,1,1,0,0,20,0,0,0,1986-10-20,1,2,62.0,0,제조업
3148120108,한빛레이저,2,1,1,0,0,0,29,0,0,0,1997-10-07,1,0,61.0,0,제조업
5018120018,대주기계,2,1,1,0,0,0,29,0,0,0,1996-07-18,1,0,117.0,0,제조업
6088152863,엘티에스코리아,2,1,1,0,0,0,29,0,0,0,2003-06-27,1,0,47.0,0,제조업
6158135542,계명티아이,2,1,1,0,0,0,26,0,0,0,2003-12-04,1,0,31.0,0,제조업
1248129622,대성공업,2,1,1,0,0,0,30,0,0,0,1995-08-01,1,0,85.0,0,제조업
2208128839,앨트웰,2,1,1,0,0,0,14,0,0,0,1989-05-31,1,0,52.0,0,제조업
1338135507,헵스켐,2,1,1,0,0,0,20,0,0,0,1998-02-01,1,0,33.0,0,제조업
1318173000,진원,2,1,1,0,0,0,22,0,0,0,2002-06-20,1,0,90.0,0,제조업
6208118792,대원레미콘,2,1,1,0,0,0,23,0,0,0,1999-02-24,1,0,21.0,0,제조업
6038127020,보명금속,2,1,1,0,0,0,31,0,0,0,1995-11-16,1,0,45.0,0,제조업
1368108974,세일정기,2,1,1,0,0,0,29,0,0,0,1988-06-30,1,0,86.0,0,제조업
1138137651,에스피씨,2,1,1,0,0,0,20,0,0,0,1994-08-01,1,0,70.0,0,제조업
1308147440,에스알아이텍,2,1,1,0,0,0,26,0,0,0,1994-01-20,1,0,3.0,0,제조업
2188117964,투윈스컴,2,1,1,0,0,0,26,0,0,0,1993-04-01,1,0,102.0,0,제조업
1308120437,신성이노텍,2,1,1,0,0,0,18,0,0,0,1987-11-24,1,0,111.0,0,제조업
3058153167,포텍,2,1,1,0,1,0,27,0,0,0,2002-02-22,1,0,47.0,0,제조업
3058162797,테라에프에이,2,1,1,0,0,0,28,0,0,0,2003-05-01,1,0,15.0,0,제조업
1308146868,웰코스,2,1,1,0,0,0,20,0,0,0,1995-05-15,1,0,268.0,0,제조업
2128121494,창성에이스산업,2,1,1,0,0,0,29,0,0,0,1989-12-18,1,0,187.0,0,제조업
1388118522,성호프린트,2,1,1,0,0,0,18,0,0,0,1999-01-01,1,0,51.0,0,제조업
1198109982,연호전자,2,1,1,0,0,0,26,0,0,0,1982-10-08,1,0,90.0,0,제조업
1258119281,동진기업,2,1,1,0,0,0,22,0,0,0,1975-08-01,1,0,111.0,0,제조업
2068155344,인산씨앤씨,2,1,1,0,0,0,25,0,0,0,2001-02-20,1,0,23.0,0,제조업
3068134858,지엠에스,2,1,1,0,0,0,30,0,0,0,1999-04-19,1,0,76.0,0,제조업
5148128957,알메탈,2,1,1,0,0,0,24,0,0,0,1997-11-03,1,0,64.0,0,제조업
1048149231,삼우아트,2,1,1,0,0,0,18,0,0,0,2000-01-03,1,0,19.0,0,제조업
4168109393,픽슨,2,1,1,0,1,0,24,0,0,0,1994-09-01,1,0,25.0,0,제조업
6038108983,광명잉크제조,2,1,1,1,0,0,20,0,0,0,1987-08-27,1,2,131.0,0,제조업
6058131200,박스코,2,1,1,0,1,0,28,0,0,0,1999-04-14,1,0,81.0,0,제조업
6108137787,영진기업,2,1,1,0,0,0,30,0,0,0,1999-10-01,1,0,37.0,0,제조업
1338132441,히즈시스템,2,1,1,0,0,0,29,0,0,0,1997-04-01,1,0,26.0,0,제조업
1138120956,유니엔스,2,1,1,0,0,0,29,0,0,0,1990-12-14,1,0,29.0,0,제조업
6098108128,성우,2,1,1,0,0,0,29,0,0,0,1991-04-10,1,0,27.0,0,제조업
1248141553,한우리식품,2,1,1,0,0,0,10,0,0,0,1996-01-01,1,0,24.0,0,제조업
5058111603,현우산기,2,1,1,0,0,0,31,0,0,0,1996-01-23,1,0,25.0,0,제조업
5058108812,나원산업,2,1,1,0,0,0,30,0,0,0,1995-02-01,1,0,79.0,0,제조업
1148177302,로이포스,2,1,1,0,0,0,13,0,0,0,1997-01-27,1,0,47.0,0,제조업
1248164712,21세기,2,1,1,0,1,0,29,0,0,0,1999-07-20,1,0,77.0,0,제조업
1348158143,아산,2,1,1,1,0,0,30,0,0,0,2000-08-01,1,2,161.0,0,제조업
1258104323,동성화학공업,2,1,1,0,0,0,22,0,0,0,1987-02-02,1,0,150.0,0,제조업
2118153125,에스아이지패키징코리아,2,1,1,1,0,0,17,0,0,0,1984-05-02,1,2,98.0,0,제조업
1308161025,금강에너텍,2,1,1,0,0,0,28,0,0,0,1999-06-29,1,0,90.0,0,제조업
