사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류,구글 검색량,설립일자(day)
1138111739,한일가스산업,2,1,1,0,0,0,47,0,0,0,1966-04-19 00:00:00,1,0,43.0,0,도매 및 소매업,67500.0,20650
2078132193,엠피아이,2,1,1,0,0,0,15,0,0,0,1991-08-06 00:00:00,1,0,35.0,0,제조업,2890000.0,11410
1318167565,도영운수,2,1,1,0,0,0,49,0,0,0,2001-10-30 00:00:00,1,0,149.0,0,운수 및 창고업,484.0,7672
5048128251,중원산업,2,1,1,0,0,0,30,0,0,0,1999-01-12 00:00:00,1,0,75.0,0,제조업,82300.0,8694
1098164260,카타나골프,2,1,1,0,0,0,46,0,0,0,2000-05-31 00:00:00,1,0,3.0,0,도매 및 소매업,310.0,8189
2148612093,센트로,2,1,1,0,0,0,55,0,0,0,1988-08-10 00:00:00,1,0,2.0,0,숙박 및 음식점업,19000.0,12501
2068148256,엄앤드이종합건축사사무소,2,1,1,0,0,0,72,0,0,0,1994-01-20 00:00:00,1,0,200.0,0,"전문, 과학 및 기술 서비스업",85.0,10512
1078156099,세풍폴리머,2,1,1,0,0,0,46,0,0,0,1996-07-01 00:00:00,1,0,36.0,0,도매 및 소매업,115.0,9619
6218111642,제일산업,2,1,1,0,0,0,13,0,0,0,1993-10-21 00:00:00,1,0,17.0,0,제조업,2300000.0,10603
5148140835,한국대풍,2,1,1,1,0,0,30,0,0,0,2001-06-21 00:00:00,1,2,94.0,0,제조업,8000.0,7803
1218138743,만복철강,2,1,1,0,0,0,46,0,0,0,2000-07-28 00:00:00,1,0,18.0,0,도매 및 소매업,206.0,8131
1058168570,유피에스에스씨에스코리아,2,1,1,1,0,0,52,0,0,0,1990-09-11 00:00:00,1,1,83.0,0,운수 및 창고업,8790.0,11739
6018127311,제이에스엠인터내셔날,2,1,1,0,0,0,75,0,0,0,1995-08-20 00:00:00,1,0,24.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업",883.0,9935
1248174864,코팅코리아,2,1,1,0,0,0,25,0,0,0,2000-07-13 00:00:00,1,0,57.0,0,제조업,50700.0,8146
6088102330,대중교통,2,1,1,0,0,0,49,0,0,0,1980-03-11 00:00:00,1,0,159.0,0,운수 및 창고업,2060000.0,15575
2108101852,대갑산업,2,1,1,0,0,0,68,0,0,0,1963-07-20 00:00:00,1,0,12.0,0,부동산업,390.0,21654
1138131623,티센크루프머티리얼코리아,2,1,1,1,0,0,25,0,0,0,1991-10-25 00:00:00,1,2,34.0,0,제조업,11200.0,11330
1268108962,동양이화,2,1,1,0,0,0,22,0,0,0,1990-12-01 00:00:00,1,0,54.0,0,제조업,9220.0,11658
2188110812,아방,2,1,1,0,0,0,14,0,0,0,1991-10-24 00:00:00,1,0,51.0,0,제조업,3120.0,11331
6098119101,아메코,2,1,1,0,0,0,29,0,0,0,1980-10-01 00:00:00,1,0,23.0,0,제조업,2190.0,15371
1068169683,아성테크노,2,1,1,0,0,0,46,0,0,0,1997-10-01 00:00:00,1,0,51.0,0,도매 및 소매업,1450.0,9162
6168100459,세기건설,2,1,1,0,0,0,41,0,0,0,1969-02-20 00:00:00,1,0,32.0,0,건설업,334000.0,19612
1348183899,아이.씨.씨.,2,1,1,0,0,0,17,0,0,0,2002-05-09 00:00:00,1,0,43.0,0,제조업,6610000.0,7481
6088126220,산호목재상사,2,1,1,0,0,0,16,0,0,0,1996-08-29 00:00:00,1,0,17.0,0,제조업,66.0,9560
3078107276,에이앤씨엠,2,1,1,0,0,0,10,0,0,0,1995-04-20 00:00:00,1,0,34.0,0,제조업,4410000.0,10057
2018132031,고려통상,2,1,1,0,0,0,68,0,0,0,1969-09-11 00:00:00,1,0,68.0,0,부동산업,146000.0,19409
1348103880,바이켐,2,1,1,0,1,0,20,0,0,0,1986-09-01 00:00:00,1,0,56.0,0,제조업,5900.0,13210
6178134781,다은비,2,1,1,0,0,0,68,0,0,0,2001-08-01 00:00:00,1,0,4.0,0,부동산업,121000.0,7762
2148737602,엘브스,2,1,1,0,0,0,27,0,0,0,2003-07-01 00:00:00,1,0,4.0,0,제조업,2260.0,7063
2128125054,서경산업개발,2,1,1,0,0,0,68,0,0,0,1993-04-30 00:00:00,1,0,4.0,0,부동산업,123000.0,10777
1098129813,전방텍스타일,2,1,1,1,0,0,14,0,0,0,1971-12-24 00:00:00,1,2,18.0,0,제조업,196.0,18575
6168110879,청룡수산,2,1,1,0,0,0,10,0,0,0,1993-05-31 00:00:00,1,0,30.0,0,제조업,1930.0,10746
1218144395,기경산업,2,1,1,0,0,0,46,0,0,0,2001-04-28 00:00:00,1,0,18.0,0,도매 및 소매업,340.0,7857
6208110636,스마트전자,2,1,1,0,0,0,26,0,0,0,1995-04-19 00:00:00,1,0,101.0,0,제조업,7090000.0,10058
1178102514,신길운수,2,1,1,0,0,0,49,0,0,0,1970-08-11 00:00:00,1,0,344.0,0,운수 및 창고업,1330.0,19075
6058109450,보광,2,1,1,0,0,0,20,0,0,0,1974-04-27 00:00:00,1,0,161.0,0,제조업,21000.0,17720
4128117284,대양산업개발,2,1,1,0,0,0,68,0,0,0,1999-08-24 00:00:00,1,0,10.0,0,부동산업,60300.0,8470
1268146326,서경에너지,2,1,1,0,0,0,46,0,0,0,1999-07-08 00:00:00,1,0,22.0,0,도매 및 소매업,127000.0,8517
1308168260,태정기공,2,1,1,0,1,0,25,0,0,0,1997-01-01 00:00:00,1,0,44.0,0,제조업,219.0,9435
2208131391,호진산업기연,2,1,1,0,0,0,27,0,0,0,1987-01-01 00:00:00,1,0,105.0,0,제조업,9.0,13088
1318160276,재영아이텍,2,1,1,0,0,0,22,0,0,0,2020-02-24 00:00:00,1,0,22.0,0,제조업,473.0,981
4098167906,현대로오텍,2,1,1,0,1,0,28,0,0,0,2002-04-11 00:00:00,1,0,36.0,0,제조업,1850.0,7509
1298107322,파마킹,2,1,1,0,0,0,21,0,0,0,1988-02-01 00:00:00,1,0,64.0,0,제조업,1480.0,12692
1248122065,윤지양행,2,1,1,0,0,0,20,0,0,0,1993-12-01 00:00:00,1,0,48.0,0,제조업,196.0,10562
5028163816,동우당제약,2,1,1,0,1,0,21,0,0,0,2002-03-06 00:00:00,1,0,41.0,0,제조업,299.0,7545
1348120822,선영,2,1,1,0,0,0,22,0,0,0,1985-06-25 00:00:00,1,0,158.0,0,제조업,48100.0,13643
1378115269,태정산업,2,1,1,0,0,0,22,0,0,0,1996-06-20 00:00:00,1,0,49.0,0,제조업,12200.0,9630
1108118320,동원아이엔씨,2,1,1,1,0,0,55,0,1,0,1985-02-04 00:00:00,4,2,158.0,0,숙박 및 음식점업,7620.0,13784
1018157125,단암엔지니어링,2,1,1,0,0,0,75,0,0,0,2000-06-01 00:00:00,1,0,12.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업",6680.0,8188
1198118308,마하니트,2,1,1,0,0,0,14,0,0,0,1995-05-15 00:00:00,1,0,46.0,0,제조업,15300.0,10032
4188117851,부경엔지니어링,2,1,1,0,0,0,72,0,0,0,1998-12-18 00:00:00,1,0,230.0,0,"전문, 과학 및 기술 서비스업",505.0,8719
2248100022,동신운수,2,1,1,0,0,0,49,0,0,0,1969-01-01 00:00:00,1,0,169.0,0,운수 및 창고업,776.0,19662
1348100753,신성염직,2,1,1,0,0,0,68,0,0,0,1974-11-01 00:00:00,1,0,7.0,0,부동산업,5.0,17532
1288165616,엠투엠코리아,2,1,1,0,0,0,52,0,0,0,2001-12-20 00:00:00,1,0,53.0,0,운수 및 창고업,4270.0,7621
