회사명,sum_rlt
1018100340_1,5.0
1018100340_2,5.0
1018100340_3,6.0
1018100340_4,2.0
1018100772_1,1.0
1018100772_2,1.0
1018100772_3,1.0
1018100772_4,5.0
1018101126_1,3.0
1018101126_2,2.0
1018101126_3,2.0
1018101126_4,3.0
1018101242_1,4.0
1018101242_2,4.0
1018101242_3,4.0
1018101242_4,5.0
1018103819_1,0.0
1018103819_2,0.0
1018103819_3,0.0
1018103819_4,0.0
1018104477_1,7.0
1018104477_2,6.0
1018104477_3,6.0
1018104477_4,2.0
1018104991_1,11.0
1018104991_2,1.0
1018104991_3,7.0
1018104991_4,3.0
1018106586_1,19.0
1018106586_2,22.0
1018106586_3,8.0
1018106586_4,51.0
1018115921_1,0.0
1018115921_2,1.0
1018115921_3,0.0
1018115921_4,2.0
1018116478_1,10.0
1018116478_2,22.0
1018116478_3,14.0
1018116478_4,14.0
1018117254_1,7.0
1018117254_2,7.0
1018117254_3,8.0
1018117254_4,6.0
1018118781_1,2.0
1018118781_2,4.0
1018118781_3,2.0
1018118781_4,4.0
1018119209_1,4.0
1018119209_2,1.0
1018119209_3,5.0
1018119209_4,11.0
1018119252_1,15.0
1018119252_2,14.0
1018119252_3,8.0
1018119252_4,4.0
1018119311_1,6.0
1018119311_2,14.0
1018119311_3,2.0
1018119311_4,9.0
1018119742_1,5.0
1018119742_2,10.0
1018119742_3,8.0
1018119742_4,7.0
1018121379_1,2.0
1018121379_2,1.0
1018121379_3,7.0
1018121379_4,2.0
1018121627_1,2.0
1018121627_2,1.0
1018121627_3,3.0
1018121627_4,3.0
1018121646_1,0.0
1018121646_2,0.0
1018121646_3,2.0
1018121646_4,2.0
1018122626_1,1.0
1018122626_2,2.0
1018122626_3,1.0
1018122626_4,2.0
1018122999_1,3.0
1018122999_2,4.0
1018122999_3,12.0
1018122999_4,8.0
1018124696_1,2.0
1018124696_2,2.0
1018124696_3,0.0
1018124696_4,0.0
1018124906_1,15.0
1018124906_2,12.0
1018124906_3,12.0
1018124906_4,3.0
1018124925_1,5.0
1018124925_2,3.0
