회사명,sum_rlt,휴폐업 여부
1018100340_1,5.0,0.0
1018100340_2,5.0,0.0
1018100340_3,6.0,0.0
1018100340_4,2.0,0.0
1018100772_1,1.0,0.0
1018100772_2,1.0,0.0
1018100772_3,1.0,0.0
1018100772_4,5.0,0.0
1018101126_1,3.0,0.0
1018101126_2,2.0,0.0
1018101126_3,2.0,0.0
1018101126_4,3.0,0.0
1018101242_1,4.0,0.0
1018101242_2,4.0,0.0
1018101242_3,4.0,0.0
1018101242_4,5.0,0.0
1018103819_1,0.0,0.0
1018103819_2,0.0,0.0
1018103819_3,0.0,0.0
1018103819_4,0.0,0.0
1018104477_1,7.0,0.0
1018104477_2,6.0,0.0
1018104477_3,6.0,0.0
1018104477_4,2.0,0.0
1018104991_1,11.0,0.0
1018104991_2,1.0,0.0
1018104991_3,7.0,0.0
1018104991_4,3.0,0.0
1018106586_1,19.0,0.0
1018106586_2,22.0,0.0
1018106586_3,8.0,0.0
1018106586_4,51.0,0.0
1018115921_1,0.0,0.0
1018115921_2,1.0,0.0
1018115921_3,0.0,0.0
1018115921_4,2.0,0.0
1018116478_1,10.0,0.0
1018116478_2,22.0,0.0
1018116478_3,14.0,0.0
1018116478_4,14.0,0.0
1018117254_1,7.0,0.0
1018117254_2,7.0,0.0
1018117254_3,8.0,0.0
1018117254_4,6.0,0.0
1018118781_1,2.0,0.0
1018118781_2,4.0,0.0
1018118781_3,2.0,0.0
1018118781_4,4.0,0.0
1018119209_1,4.0,0.0
1018119209_2,1.0,0.0
1018119209_3,5.0,0.0
1018119209_4,11.0,0.0
1018119252_1,15.0,0.0
1018119252_2,14.0,0.0
1018119252_3,8.0,0.0
1018119252_4,4.0,0.0
1018119311_1,6.0,0.0
1018119311_2,14.0,0.0
1018119311_3,2.0,0.0
1018119311_4,9.0,0.0
1018119742_1,5.0,0.0
1018119742_2,10.0,0.0
1018119742_3,8.0,0.0
1018119742_4,7.0,0.0
1018121379_1,2.0,0.0
1018121379_2,1.0,0.0
1018121379_3,7.0,0.0
1018121379_4,2.0,0.0
1018121627_1,2.0,0.0
1018121627_2,1.0,0.0
1018121627_3,3.0,0.0
1018121627_4,3.0,0.0
1018121646_1,0.0,0.0
1018121646_2,0.0,0.0
1018121646_3,2.0,0.0
1018121646_4,2.0,0.0
1018122626_1,1.0,0.0
1018122626_2,2.0,0.0
1018122626_3,1.0,0.0
1018122626_4,2.0,0.0
1018122999_1,3.0,0.0
1018122999_2,4.0,0.0
1018122999_3,12.0,0.0
1018122999_4,8.0,0.0
1018124696_1,2.0,0.0
1018124696_2,2.0,0.0
1018124696_3,0.0,0.0
1018124696_4,0.0,0.0
1018124906_1,15.0,0.0
1018124906_2,12.0,0.0
1018124906_3,12.0,0.0
1018124906_4,3.0,0.0
1018124925_1,5.0,0.0
1018124925_2,3.0,0.0
1018124925_3,0.0,0.0
1018124925_4,3.0,0.0
1018126734_1,3.0,0.0
1018126734_2,5.0,0.0
1018126734_3,5.0,0.0
1018126734_4,6.0,0.0
1018126767_1,2.0,0.0
1018126767_2,3.0,0.0
1018126767_3,7.0,0.0
1018126767_4,4.0,0.0
1018132686_1,3.0,0.0
1018133287_1,3.0,0.0
1018133287_2,3.0,0.0
1018133287_3,3.0,0.0
1018133287_4,8.0,0.0
1018135117_1,1.0,0.0
1018135117_2,3.0,0.0
1018135117_3,3.0,0.0
1018135117_4,2.0,0.0
1018135174_1,2.0,0.0
1018135174_2,3.0,0.0
1018135174_3,7.0,0.0
1018135174_4,5.0,0.0
1018135422_1,22.0,0.0
1018135742_1,5.0,0.0
1018135742_2,5.0,0.0
1018135742_3,3.0,0.0
1018135742_4,3.0,0.0
1018136659_1,16.0,0.0
1018136659_2,2.0,0.0
1018136659_3,3.0,0.0
1018136659_4,1.0,0.0
1018138303_1,1.0,0.0
1018138303_2,9.0,0.0
1018138303_3,1.0,0.0
1018138303_4,0.0,0.0
1018138657_1,5.0,0.0
1018138657_2,5.0,0.0
1018138657_3,10.0,0.0
1018138657_4,2.0,0.0
1018139184_1,13.0,0.0
1018139184_2,3.0,0.0
1018139184_3,5.0,0.0
1018139184_4,2.0,0.0
1018139656_1,5.0,0.0
1018139656_2,4.0,0.0
1018139656_3,3.0,0.0
1018139656_4,7.0,0.0
1018140003_1,2.0,0.0
1018140003_2,0.0,0.0
1018140003_3,1.0,0.0
1018140003_4,0.0,0.0
1018143015_1,6.0,0.0
1018143015_2,5.0,0.0
1018143015_3,7.0,0.0
1018143015_4,7.0,0.0
1018144519_1,2.0,0.0
1018144519_2,2.0,0.0
1018144519_3,5.0,0.0
1018144673_1,8.0,0.0
1018144673_2,5.0,0.0
1018144673_3,10.0,0.0
1018145105_1,9.0,0.0
1018145105_2,12.0,0.0
1018145105_3,18.0,0.0
1018145105_4,17.0,0.0
1018145105_5,16.0,0.0
1018145255_1,5.0,0.0
1018145255_2,5.0,0.0
1018145255_3,9.0,0.0
1018145255_4,8.0,0.0
1018145861_1,3.0,0.0
1018145861_2,2.0,0.0
1018146496_1,1.0,0.0
1018146496_2,1.0,0.0
1018146496_3,2.0,0.0
1018146496_4,3.0,0.0
1018147059_1,0.0,0.0
1018147059_2,0.0,0.0
1018147345_1,4.0,0.0
1018147345_2,5.0,0.0
1018147345_3,12.0,0.0
1018147345_4,12.0,0.0
1018147985_1,5.0,0.0
1018147985_2,4.0,0.0
1018147985_3,5.0,0.0
1018147985_4,2.0,0.0
1018148121_1,0.0,0.0
1018148121_2,4.0,0.0
1018148121_3,5.0,0.0
1018148121_4,3.0,0.0
1018149187_1,35.0,0.0
1018149187_2,26.0,0.0
1018149187_3,23.0,0.0
1018149187_4,10.0,0.0
1018149187_5,1.0,0.0
1018149853_1,13.0,0.0
1018149853_2,6.0,0.0
1018149853_3,6.0,0.0
1018149853_4,10.0,0.0
1018151140_1,3.0,0.0
1018151140_2,1.0,0.0
1018151140_3,2.0,0.0
1018151140_4,2.0,0.0
1018151437_1,0.0,0.0
1018151437_2,0.0,0.0
1018151437_3,0.0,0.0
1018151437_4,0.0,0.0
1018151742_1,2.0,0.0
1018151742_2,2.0,0.0
1018151742_3,2.0,0.0
1018151742_4,5.0,0.0
1018151795_1,14.0,0.0
1018151795_2,14.0,0.0
1018151795_3,18.0,0.0
1018151795_4,8.0,0.0
1018152722_1,1.0,0.0
1018152722_2,4.0,0.0
1018152722_3,4.0,0.0
1018152722_4,7.0,0.0
1018152794_1,12.0,0.0
1018153172_1,3.0,0.0
1018153172_2,0.0,0.0
1018153172_3,0.0,0.0
1018153172_4,0.0,0.0
1018154206_1,16.0,0.0
1018154491_1,5.0,0.0
1018154491_2,4.0,0.0
1018154491_3,13.0,0.0
1018154491_4,3.0,0.0
1018155791_1,14.0,0.0
1018155791_2,10.0,0.0
1018155791_3,11.0,0.0
1018156086_1,4.0,0.0
1018156086_2,8.0,0.0
1018156086_3,7.0,0.0
1018156086_4,3.0,0.0
1018156204_1,8.0,0.0
1018156204_2,7.0,0.0
1018156204_3,15.0,0.0
1018156204_4,17.0,0.0
1018156320_1,3.0,0.0
1018156320_2,7.0,0.0
1018156320_3,1.0,0.0
1018156562_1,2.0,0.0
1018156562_2,2.0,0.0
