순번,산업분류코드,산업분류명칭,데이터기준일
1,1,농업,2022-08-02
2,11,작물 재배업,2022-08-02
3,111,곡물 및 기타 식량작물 재배업,2022-08-02
4,1110,곡물 및 기타 식량작물 재배업,2022-08-02
5,112,채소,2022-08-02
6,1121,채소작물 재배업,2022-08-02
7,1122,화훼작물 재배업,2022-08-02
8,1123,종자 및 묘목 생산업,2022-08-02
9,113,과실,2022-08-02
10,1131,과실작물 재배업,2022-08-02
11,1132,음료용 및 향신용 작물 재배업,2022-08-02
12,114,기타 작물 재배업,2022-08-02
13,1140,기타 작물 재배업,2022-08-02
14,115,시설작물 재배업,2022-08-02
15,1151,콩나물 재배업,2022-08-02
16,1152,채소,2022-08-02
17,1159,기타 시설작물 재배업,2022-08-02
18,12,축산업,2022-08-02
19,121,소 사육업,2022-08-02
20,1211,젖소 사육업,2022-08-02
21,1212,육우 사육업,2022-08-02
22,122,양돈업,2022-08-02
23,1220,양돈업,2022-08-02
24,123,가금류 및 조류 사육업,2022-08-02
25,1231,양계업,2022-08-02
26,1239,기타 가금류 및 조류 사육업,2022-08-02
27,129,기타 축산업,2022-08-02
28,1291,말 및 양 사육업,2022-08-02
29,1299,그 외 기타 축산업,2022-08-02
30,13,작물재배 및 축산 복합농업,2022-08-02
31,130,작물재배 및 축산 복합농업,2022-08-02
32,1300,작물재배 및 축산 복합농업,2022-08-02
33,14,작물재배 및 축산 관련 서비스업,2022-08-02
34,141,작물재배 관련 서비스업,2022-08-02
35,1411,작물재배 지원 서비스업,2022-08-02
36,1412,농산물 건조,2022-08-02
37,142,축산 관련 서비스업,2022-08-02
38,1420,축산 관련 서비스업,2022-08-02
39,15,수렵 및 관련 서비스업,2022-08-02
40,150,수렵 및 관련 서비스업,2022-08-02
41,1500,수렵 및 관련 서비스업,2022-08-02
42,2,임업,2022-08-02
43,20,임업,2022-08-02
44,201,영림업,2022-08-02
45,2011,임업용 종묘 생산업,2022-08-02
46,2012,육림업,2022-08-02
47,202,벌목업,2022-08-02
48,2020,벌목업,2022-08-02
49,203,임산물 채취업,2022-08-02
50,2030,임산물 채취업,2022-08-02
51,204,임업 관련 서비스업,2022-08-02
